Date,News Channel,News Time,News text,Sentiment,Tweet Ago,Tweet ID,neg,neutral,pos
Tue Jul 31 21:32:04 +0000 2018,@nytimes,2018-07-31 21:32:04+00:00,San Francisco officials want to ban new tech company cafeterias in an effort to revitalize local neighborhoods https://t.co/217l9Kiagr,-0.5106,1,1024407370896732160,0.172,0.766,0.062
Tue Jul 31 21:17:01 +0000 2018,@nytimes,2018-07-31 21:17:01+00:00,"“It’s as if the Israeli people simply abandoned us. They say they didn’t. But according to the clauses of this law,… https://t.co/AGVOSy4S9f",-0.4588,2,1024403583863848961,0.125,0.875,0.0
Tue Jul 31 21:00:11 +0000 2018,@nytimes,2018-07-31 21:00:11+00:00,"In the Florida governor’s race, just one issue counts: President Trump. Here’s how the president and Fox News are t… https://t.co/MnejyM2pjz",0.0,3,1024399347927207937,0.0,1.0,0.0
Tue Jul 31 20:45:08 +0000 2018,@nytimes,2018-07-31 20:45:08+00:00,A former fraternity brother of the now-banned Beta Theta Pi chapter at Penn State University was sentenced to three… https://t.co/Pcdeq9TCBa,-0.0258,4,1024395558931361792,0.058,0.942,0.0
Tue Jul 31 20:31:04 +0000 2018,@nytimes,2018-07-31 20:31:04+00:00,"RT @nytimesarts: Klaus Biesenbach, the director of MoMA PS1, has been chosen to lead @MOCAlosangeles https://t.co/U3o9UL5Dtj",0.0,5,1024392018578034688,0.0,1.0,0.0
Tue Jul 31 20:15:10 +0000 2018,@nytimes,2018-07-31 20:15:10+00:00,"President Trump said he’d be willing to talk to Iran’s leaders “without preconditions.”
Those leaders say Trump can… https://t.co/gb4tdNU3fV",0.0,6,1024388018625495040,0.0,1.0,0.0
Tue Jul 31 20:00:13 +0000 2018,@nytimes,2018-07-31 20:00:13+00:00,"In March, China voted 2,958 to 2 to abolish a term limit for its top leader Xi Jinping. Now, nearly 5 months later,… https://t.co/YwVBLsXDYS",0.2023,7,1024384257760927745,0.0,0.917,0.083
Tue Jul 31 19:45:10 +0000 2018,@nytimes,2018-07-31 19:45:10+00:00,"In an effort to turn away from opioids, doctors are prescribing an injectable drug called Depo-Medrol. What they do… https://t.co/LX6JfIukn2",0.0,8,1024380467636838400,0.0,1.0,0.0
Tue Jul 31 19:30:12 +0000 2018,@nytimes,2018-07-31 19:30:12+00:00,TripAdvisor and the International Rescue Committee launched a new program — Welcome Home — to give recently resettl… https://t.co/SA4fMdI6dO,0.7783,9,1024376703869767680,0.0,0.625,0.375
Tue Jul 31 19:15:09 +0000 2018,@nytimes,2018-07-31 19:15:09+00:00,"Film Forum, a haven for foreign, indie and classic films, is reopening after a major renovation. 10 filmmakers look… https://t.co/tJTr8QWKzl",0.0,10,1024372916782292993,0.0,1.0,0.0
Tue Jul 31 19:00:07 +0000 2018,@nytimes,2018-07-31 19:00:07+00:00,Austin is renaming sites that honored Confederate soldiers. But the city is also contending with an uncomfortable t… https://t.co/QPjeUCSbXs,0.296,11,1024369131129380864,0.111,0.726,0.162
Tue Jul 31 18:45:07 +0000 2018,@nytimes,2018-07-31 18:45:07+00:00,"Nearly 70 clergy and lay people, including 3 bishops, are under investigation in Chile for cases involving sexual a… https://t.co/Ld7UAieiuI",0.0,12,1024365358776545280,0.0,1.0,0.0
Tue Jul 31 18:30:15 +0000 2018,@nytimes,2018-07-31 18:30:15+00:00,"The FDA told companies that offered ""vaginal rejuvenation"" laser treatments to stop marketing the procedure, saying… https://t.co/nWtseTrRK6",-0.296,13,1024361614626181120,0.121,0.879,0.0
Tue Jul 31 18:15:11 +0000 2018,@nytimes,2018-07-31 18:15:11+00:00,3 people were caught on surveillance video stealing a 16-inch-long horn shark from a Texas aquarium this weekend by… https://t.co/gMTQDbYuCC,-0.5719,14,1024357821838749696,0.188,0.812,0.0
Tue Jul 31 18:00:18 +0000 2018,@nytimes,2018-07-31 18:00:18+00:00,"A giant colony of 500,000 breeding pairs of king penguins has lost 90% of its population since 1982, according to a… https://t.co/WWg5C2NbUN",-0.3182,15,1024354078116204544,0.103,0.897,0.0
